id,name,league,country
1,Arsenal,Premier League,England
2,Udinese,Serie A,Italy
3,Rennes,Unknown,Unknown
4,Marseille,Ligue 1,France
5,Mainz,Unknown,Unknown
6,Wolfsburg,Unknown,Unknown
7,1. FC Cologne,Bundesliga,Germany
8,Nice,Ligue 1,France
9,FC St. Pauli,Bundesliga,Germany
10,Fiorentina,Serie A,Italy
11,Lecce,Serie A,Italy
12,Werder Bremen,Bundesliga,Germany
13,Napoli,Serie A,Italy
14,RB Leipzig,Bundesliga,Germany
15,Crystal Palace,Premier League,England
16,Chelsea,Premier League,England
17,Osasuna,La Liga,Spain
18,Dortmund,Unknown,Unknown
19,Metz,Ligue 1,France
20,Union Berlin,Bundesliga,Germany
21,West Ham,Premier League,England
22,Torino,Serie A,Italy
23,Augsburg,Unknown,Unknown
24,Sevilla,La Liga,Spain
25,Man City,Premier League,England
26,Real Madrid,La Liga,Spain
27,Newcastle,Premier League,England
28,Betis,Unknown,Unknown
29,Celta,Unknown,Unknown
30,Hellas Verona,Serie A,Italy
31,Athletic Bilbao,La Liga,Spain
32,Atletico Madrid,La Liga,Spain
33,Borussia Mönchengladbach,Bundesliga,Germany
34,Girona,La Liga,Spain
35,Espanyol,La Liga,Spain
36,Fulham,Premier League,England
37,Sociedad,Unknown,Unknown
38,Como,Serie A,Italy
39,Hamburg,Unknown,Unknown
40,Paris FC,Unknown,Unknown
41,Stuttgart,Bundesliga,Germany
42,Roma,Serie A,Italy
43,Freiburg,Unknown,Unknown
44,Strasbourg,Unknown,Unknown
45,Liverpool,Premier League,England
46,Alaves,La Liga,Spain
47,Cremonese,Serie A,Italy
48,Rayo Vallecano,La Liga,Spain
49,Bologna,Serie A,Italy
50,Leverkusen,Unknown,Unknown
51,Wolves,Premier League,England
52,Auxerre,Ligue 1,France
53,Oviedo,La Liga,Spain
54,Sunderland,Premier League,England
55,Levante,La Liga,Spain
56,Angers,Ligue 1,France
57,Forest,Premier League,England
58,Hoffenheim,Unknown,Unknown
59,Getafe,La Liga,Spain
60,Lyon,Ligue 1,France
61,Eintracht Frankfurt,Bundesliga,Germany
62,Leeds,Premier League,England
63,Toulouse,Ligue 1,France
64,Brest,Unknown,Unknown
65,Barcelona,La Liga,Spain
66,Aston Villa,Premier League,England
67,Atalanta,Serie A,Italy
68,Genoa,Serie A,Italy
69,Mallorca,La Liga,Spain
70,Burnley,Premier League,England
71,Le Havre,Ligue 1,France
72,Brentford,Premier League,England
73,Tottenham,Premier League,England
74,Elche,La Liga,Spain
75,Lille,Ligue 1,France
76,Lens,Ligue 1,France
77,Bournemouth,Premier League,England
78,Bayern Munich,Bundesliga,Germany
79,Pisa,Serie A,Italy
80,Lorient,Ligue 1,France
81,Cagliari,Serie A,Italy
82,Parma Calcio,Serie A,Italy
83,1. FC Heidenheim,Bundesliga,Germany
84,Inter,Serie A,Italy
85,Brighton,Premier League,England
86,Everton,Premier League,England
87,Valencia,La Liga,Spain
88,Lazio,Serie A,Italy
89,Manchester United,Premier League,England
90,Sassuolo,Serie A,Italy
91,Nantes,Ligue 1,France
92,Juventus,Serie A,Italy
93,Villarreal,La Liga,Spain
94,Milan,Serie A,Italy
95,Monaco,Ligue 1,France
